movieId,description
73881,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
142115,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans."
159817,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough."
171011,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
171749,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
182723,An exploration of our discovery of the laws of nature and coordinates in space and time.
4993,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
70186,The village of Schabbach experiences the shifting fortunes of Germany from 1919 to 1982.
5952,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
7153,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
171495,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.
58559,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
150696,"The world's climate is changing. Instead of showing the worst that can happen, this documentary focuses on the people suggesting solutions and their actions."
170705,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
219561,"Daniel Sloss discusses a variety of topics, from his love of children, to being a man, in this tastefully dark comedy special."
858,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
210939,"Kazuma's party is suddenly alerted by an outrageous letter delivered by Yunyun. The letter requested that they come to the Crimson Demon Clan's village, that is facing a threat that could mean it's ending."
242210,"James Acaster performs at the Hackney Empire, discussing such topics such as brexit and mental health."
1148,"Gromit butts heads with a mysterious penguin lodger, who hatches a sinister scheme involving the ex-NASA Techno Trousers that have been modified by Wallace for walkies."
179135,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face."
1203,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
147124,"Weaves together the stories of Theodore, Franklin and Eleanor Roosevelt, three members of one of the most prominent and influential families in American politics."
210825,Duck Dodgers and Marvin Martian wage war over Planet X.
162464,"In Budapest in 1944, a watchmaker, a book seller and a carpenter are drinking in a bar with the owner, when they are joined by a stranger. The watchmaker asks a hypothetical question that will change their lives."
105250,A documentary about the rise of psychoanalysis as a powerful means of persuasion for both governments and corporations.
252710,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
220528,"The jurors in a murder trial take their seats in a small, drab room to decide the defendant's fate. At first, all the men vote guilty bar one, who still has many questions not answered in court. Through theories and re-enactments, others change their minds, but one man is adamant that he'll never change his vote and won't listen to reason.—WesternOne"
79132,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
318,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
228099,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
197805,"When Bugs attempts to perform Liszt's Second Hungarian Rhapsody, he is troubled by a mouse."
5618,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
192001,"Sherlock goes up against Charles Augustus Magnussen, media tycoon and a notorious blackmailer."
233203,"With the robot city isolated and it's ambassadors ejected form the United Nations, a trade war begins to protect the human economy from superior products. When the trade war escalates into war the machines begin a seemingly unstoppable march across the globe. With solutions running out man darkens the sky to try and shut out the machine's main energy source, but the machines keep coming.—bob the moo"
2571,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
91529,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
720,"Siskel and Ebert review Eraser (1996), [error], The Hunchback of Notre Dame (1996), Lone Star (1996), Nelly & Monsieur Arnaud (1995)."
904,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
239316,"Love, power, money, ghosts of empire, conspiracies, artificial intelligence and You. An emotional history of the modern world by Adam Curtis."
151763,See the world of Death Note through Ryuk's point of view.
186275,"Emilie Muller a young petite woman goes to her first audition, the director asks her to talk about what is inside her handbag. Then she shows many objects (photographs, book...) and tells what those things remind her."
953,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
94074,"An in-depth look at the Canadian rock band Rush, chronicling the band's musical evolution from their progressive rock sound of the '70s to their current heavy rock style."
181365,Sketches from Monty Python's Flying Circus (1969).
134796,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.
745,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.
1221,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
158970,"Dick Proenneke's simple, yet profound account of his 30 year adventure in the remote Alaska wilderness continues in this sequel to ""Alone in the Wilderness"". Watch through his eyes as he continues to document with his 16mm wind-up Bolex camera, capturing his own amazing craftsmanship, the stunning Alaskan wildlife and scenery and even a visit from his brother Ray (Jake). His epic journey takes you on a vacation away from the hustle and bustle of today's fast-paced society, and is a true breath of fresh air.—Pike Briggs"
149412,"Two interstellar armies continue their 150-year-long war. On both sides, mid-ranking soldiers question the judgment of their superior officers and worry about the future."
126947,A WW2 story of a young Austrian soldier running from the Russian army and a woman whom he forces to come along in order to save his wounded mate.
50,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
593,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
215615,Pink Floyd's final live show in 1994
176887,Poirot investigates the murder of a shady American businessman stabbed in his compartment on the Orient Express when it is blocked by a blizzard in Croatia.
77177,"An in-depth look at some of China's most impressive natural sites such as the ancient Han kingdom, the Mongol steppes, the Silk Road and the Tibetan Plateau."
134244,Gritty documentary that looks at the lives of teenagers living on the streets of Seattle.
3000,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
908,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
86288,James Burke explores key moments in Western History where new knowledge in science changed the way the modern Western world thinks.
109153,The life and work of the renowned film visual effects artist and producer.
178353,A black man and his school-teacher wife face discriminatory challenges in 1960s America.
2019,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
912,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
161113,A filmmaker returns to Northeast Brazil after twenty years to resume his film (a profile of assassinated peasant leader João Pedro Teixeira) which was shut down by a right-wing military coup in 1964.
144382,"Comic Jim Jefferies talks about pregnant teenagers, his grandmother, pedophiles, the afterlife, being in a gay club in South Africa, having cancer, being punched on stage, and more."
173345,An agent delivers plans to save mice from a feline syndicate dedicated to eradicating rodents.
206399,FOR SAMA is both an intimate and epic journey into the female experience of war.
203086,"Andres settles in a new farm. With rose-tinted lenses, he sets out to transform the farm into a prosperous paradise - all he needs is a healthy harvest, cooperative neighbors and a son. But, life turns out to be cruel and treacherous."
286897,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
86237,"Follow James Burke through the history of science and technology in this collection of 10 1-hour episodes, starting with ""The Trigger Effect."""
5971,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
184407,"Even though Sam's father is hardly ever home because he is often away on business trips, he is able to connect with his son by teaching him how to pack a suitcase."
189745,"Kevin Smith is anything but quiet in this new comedy special that was recorded an hour before his heart attack in February. Before he nearly died backstage, onstage he discusses his marriage, his kid and his work (or lack thereof)."
240686,12-year-old Tulip must learn to set her personal interests aside to make her way through a mysterious train and help the king of all corgis save his people.
169954,"The story of the American activist struggle against the influence of alcohol, climaxing in the failed early 20th century nationwide era when it was banned."
174703,"Dark shadows are cast over Bill's recovery, in this second chapter to ""Everything Will Be OK""."
223011,"A rip-roaring look at some sort of woman living her sort of life. With family and friendships under strain and a guinea pig cafe struggling to keep afloat, Fleabag suddenly finds herself with nothing to lose."
