Algorithm,Metric Type,Metric,Value
SVD++,NDCG,ndcg@10,0.082874
SVD++,MAP,map@10,0.040121
SVD++,Precision,precision@10,0.072623
SVD++,Recall,recall@10,0.022542
SVD++ LLM,NDCG,ndcg@10,0.153473
SVD++ LLM,MAP,map@10,0.078036
SVD++ LLM,Precision,precision@10,0.123770
SVD++ LLM,Recall,recall@10,0.049399
SVD++ LLM,Timing,time_train,29.740000
SVD++ LLM,Timing,time_base_predictions,389.260000
SVD++ LLM,Timing,time_llm_predictions,17218.220000
SVD++ LLM,Timing,time_metrics_calculation,15.560000
SVD++ LLM,Timing,time_total,17652.980000
