Algorithm,Metric Type,Metric,Value
SVD,NDCG,ndcg@10,0.086686
SVD,MAP,map@10,0.040111
SVD,Precision,precision@10,0.077705
SVD,Recall,recall@10,0.025207
SVD LLM,NDCG,ndcg@10,0.160967
SVD LLM,MAP,map@10,0.082908
SVD LLM,Precision,precision@10,0.132459
SVD LLM,Recall,recall@10,0.054620
SVD LLM,Timing,time_train,0.330000
SVD LLM,Timing,time_base_predictions,101.840000
SVD LLM,Timing,time_llm_predictions,19701.870000
SVD LLM,Timing,time_metrics_calculation,15.340000
SVD LLM,Timing,time_total,19819.570000
