Algorithm,Metric,Value
SVD LLM,hit_rate_N@5,0.013661
SVD LLM,cumulative_hit_4.0_N@5,0.021968
SVD LLM,hit_rate_N@10,0.017486
SVD LLM,cumulative_hit_4.0_N@10,0.026743
SVD LLM,hit_rate_N@1,0.006011
SVD LLM,cumulative_hit_4.0_N@1,0.009551
SVD,hit_rate_N@10,0.009290
SVD,cumulative_hit_4.0_N@10,0.013372
SVD,hit_rate_N@5,0.004918
SVD,cumulative_hit_4.0_N@5,0.006686
SVD++,hit_rate_N@1,0.001639
SVD++ LLM,hit_rate_N@1,0.007104
SVD++,hit_rate_N@5,0.007104
SVD++ LLM,hit_rate_N@5,0.012568
SVD++,hit_rate_N@10,0.012022
SVD++ LLM,hit_rate_N@10,0.016940
SVD++ LLM,cumulative_hit_4.0_N@1,0.011461
SVD++,cumulative_hit_4.0_N@5,0.010506
SVD++ LLM,cumulative_hit_4.0_N@5,0.021012
SVD++,cumulative_hit_4.0_N@10,0.018147
SVD++ LLM,cumulative_hit_4.0_N@10,0.026743
SVD++,cumulative_hit_4.0_N@1,0.001910
