SVD LLM vs. SVD,,,,,,,Averages,,,,
Metric,SVD LLM,SVD,Improvement Ratio,Search Count,,,Result,SVD ,SVD LLM,SVD++ ,SVD++ LLM
Hit Rate N@1,0.006011,0,Undefined,100,,,Average Hit Rate,0.004736,0.012386,0.006921667,0.012204
Hit Rate N@5,0.013661,0.004918,2.777755185,100,,,Average Cumulative Hit Rate,0.006686,0.019420667,0.010187667,0.019738667
Hit Rate N@10,0.017486,0.00929,1.882238967,100,,,,,,,
Cumulative Hit (>= 4.0) N@1,0.009551,0,Undefined,100,,,,,,,
Cumulative Hit (>= 4.0) N@5,0.021968,0.006686,3.285671552,100,,,,,,,
Cumulative Hit (>= 4.0) N@10,0.026743,0.013372,1.999925217,100,,,,,,,
,,,,,,,,,,,
SVD++ LLM vs. SVD++ ,,,,,,,,,,,
Metric,SVD++ LLM,SVD++,Improvement Ratio,Search Count,,,,,,,
Hit Rate N@1,0.007104,0.001639,4.334350214,100,,,,,,,
Hit Rate N@5,0.012568,0.007104,1.769144144,100,,,,,,,
Hit Rate N@10,0.01694,0.012022,1.409083347,100,,,,,,,
Cumulative Hit (>= 4.0) N@1,0.011461,0.00191,6.00052356,100,,,,,,,
Cumulative Hit (>= 4.0) N@5,0.021012,0.010506,2,100,,,,,,,
Cumulative Hit (>= 4.0) N@10,0.026743,0.018147,1.473687111,100,,,,,,,
